portfolio,alpha,alpha_pvalue,alpha_tstat,r_squared,adjusted_r_squared,beta_mkt,beta_mkt_pvalue,beta_mkt_tstat,beta_smb,beta_smb_pvalue,beta_smb_tstat,beta_hml,beta_hml_pvalue,beta_hml_tstat
Factor_Mkt-RF,5.273559366969494e-16,0.01947608547624343,2.3695365944800537,1.0,1.0,0.9999999999999997,0.0,2.6587684957510628e+16,-2.7755575615628914e-17,0.6584345607590616,-0.44322655733602706,1.3877787807814457e-16,0.00202002851245833,3.159458341048036
Factor_SMB,3.608224830031759e-16,0.019601336230551547,2.367046064562948,1.0,1.0,-1.0234868508263162e-16,0.00012420529581860944,-3.9729795507877035,1.0000000000000002,0.0,2.3314659347062024e+16,-2.671474153004283e-16,1.0513573859518436e-14,-8.879671619356612
Factor_HML,-1.6653345369377348e-16,0.5060842001667825,-0.6670377746413748,1.0,1.0,2.0990154059319366e-16,2.307565632046521e-06,4.9749132196494585,-3.8163916471489756e-16,3.143143453320105e-07,-5.432726377247031,1.0000000000000004,0.0,2.0294658593217456e+16
Factor_RF,5.2909066017292616e-17,0.27865855494509995,1.088481286362233,1.0,1.0,-2.949029909160572e-17,0.00048746985064842613,-3.5899714288161535,1.1275702593849246e-16,3.042593045188472e-13,8.244236457804563,5.0090140368830305e-17,7.989604958236945e-07,5.221267335177192
