,mean_monthly,std_monthly,mean_annual,std_annual,sharpe_ratio,min,max,skewness,kurtosis
Mkt-RF,0.981,4.589753183528967,12.428393652459913,15.899371416146344,0.7404066294121002,-13.37,13.6,-0.3372838556039385,0.718450108624848
SMB,-0.13083333333333333,2.7876644793266854,-1.5587516664039014,9.656753025297718,-0.1625805274181792,-5.93,7.14,0.4131736164211989,-0.1702986922142231
HML,-0.18408333333333332,3.7852634413906108,-2.186771464055748,13.112537201043109,-0.16846472701135773,-13.83,12.86,0.23692737658585977,1.912854476203207
RF,0.13949999999999999,0.1571107301001591,1.6869036763835332,0.544247533895433,3.0758063119154673,0.0,0.48,0.9354237899384381,-0.5288114541136211
