portfolio,alpha,alpha_pvalue,alpha_tstat,r_squared,adjusted_r_squared,beta_mkt,beta_mkt_pvalue,beta_mkt_tstat,beta_smb,beta_smb_pvalue,beta_smb_tstat,beta_hml,beta_hml_pvalue,beta_hml_tstat
价值型小盘股,0.2905176058638787,0.09686823079127115,1.673780402474301,0.9390927535131091,0.9375175661039653,1.2414688776299871,1.274599906741323e-59,32.15882551709959,0.8163937518990818,7.51647711513253e-24,12.76732086014267,0.5315083878175128,1.2548886050136504e-21,11.814619452881773
成长型大盘股,0.5374538566974101,0.026050980745776192,2.254357475424847,0.7912136035534294,0.7858139553694663,1.0368668500643707,1.6056968509482189e-38,19.55432865776879,-0.4897095191125418,1.631561535705279e-07,-5.575633574096687,-0.46375785209831133,1.3628726061167929e-11,-7.505099750580618
市场中性策略,0.7988231831755923,9.477153604682437e-09,6.187492164976389,0.9317489853396888,0.9299838728915772,0.30840718161353764,4.2282064938394193e-19,10.740557013399092,0.9361317749023064,8.96557328047324e-39,19.682264641710482,0.9042308818505015,6.994120801813468e-52,27.02258738263586
被动指数基金,0.01724537162171394,0.7326058566662857,0.3424848155349994,0.9872351359449452,0.9869050101504179,1.012355933354089,2.2028831132389615e-109,90.39414826563893,0.004038164366483299,0.8280576553902653,0.21768416314215674,-0.010476855174958246,0.4237577479811304,-0.8027555140508492
